ZIPCODE,city,state,LATITUDE,LONGITUDE
89439,Verdi,CA,39.5237,-120.0301
90001,Los Angeles,CA,33.9729,-118.2488
90002,Los Angeles,CA,33.9483,-118.2485
90003,Los Angeles,CA,33.9627,-118.276
90004,Los Angeles,CA,34.0771,-118.3076
90005,Los Angeles,CA,34.0589,-118.3085
90006,Los Angeles,CA,34.0484,-118.2943
90007,Los Angeles,CA,34.0264,-118.2829
90008,Los Angeles,CA,34.0098,-118.3371
90009,Los Angeles,CA,33.7866,-118.2987
90010,Los Angeles,CA,34.0627,-118.3148
90011,Los Angeles,CA,34.0071,-118.2587
90012,Los Angeles,CA,34.0616,-118.2394
90013,Los Angeles,CA,34.0447,-118.2426
90014,Los Angeles,CA,34.0429,-118.2519
90015,Los Angeles,CA,34.039,-118.2652
90016,Los Angeles,CA,34.0297,-118.3526
90017,Los Angeles,CA,34.0526,-118.2643
90018,Los Angeles,CA,34.0291,-118.3183
90019,Los Angeles,CA,34.0484,-118.3402
90020,Los Angeles,CA,34.0665,-118.3086
90021,Los Angeles,CA,34.0293,-118.2418
90022,Los Angeles,CA,34.0237,-118.1558
90023,Los Angeles,CA,34.023,-118.2023
90024,Los Angeles,CA,34.0632,-118.4364
90025,Los Angeles,CA,34.045,-118.4453
90026,Los Angeles,CA,34.0785,-118.266
90027,Los Angeles,CA,34.1112,-118.2884
90028,Los Angeles,CA,34.0989,-118.3275
90029,Los Angeles,CA,34.0903,-118.2946
90030,Los Angeles,CA,33.7866,-118.2987
90031,Los Angeles,CA,34.0787,-118.2161
90032,Los Angeles,CA,34.0817,-118.1757
90033,Los Angeles,CA,34.0504,-118.212
90034,Los Angeles,CA,34.0306,-118.398
90035,Los Angeles,CA,34.0527,-118.3853
90036,Los Angeles,CA,34.0704,-118.3493
90037,Los Angeles,CA,34.0021,-118.2874
90038,Los Angeles,CA,34.0895,-118.3285
90039,Los Angeles,CA,34.1104,-118.2583
90040,Los Angeles,CA,33.9975,-118.1528
90041,Los Angeles,CA,34.1376,-118.2077
90042,Los Angeles,CA,34.1146,-118.1923
90043,Los Angeles,CA,33.9875,-118.334
90044,Los Angeles,CA,33.9538,-118.2916
